date,score_mean_10,sentiment_twitter_10,close,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start
2019/5/1,-0.16048,-0.0761174,47.77,2019,5,18,1,2,121,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2019/5/2,-0.19634,-0.07503543,49.104,2019,5,18,2,3,122,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/3,-0.19258,-0.05682316,48.771999,2019,5,18,3,4,123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/6,-0.1723,-0.02683956,50.004002,2019,5,19,6,0,126,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/7,-0.17008,-0.01502537,51.360001,2019,5,19,7,1,127,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/8,0,-0.02586791,49.388,2019,5,19,8,2,128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/9,-0.13366,-0.00519835,48.400002,2019,5,19,9,3,129,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/10,-0.08612,0.01614617,47.950001,2019,5,19,10,4,130,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/13,-0.21032,0.00271177,46.402,2019,5,20,13,0,133,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/14,-0.16988,0.01541819,45.860001,2019,5,20,14,1,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/15,-0.15368,0.03075978,45.863998,2019,5,20,15,2,135,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/16,0,0.025051108,45.897999,2019,5,20,16,3,136,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/17,-0.20299,0.006153238,44.391998,2019,5,20,17,4,137,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/20,-0.19387,-0.016003942,40.560001,2019,5,21,20,0,140,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/21,-0.23311,-0.020135732,39.551998,2019,5,21,21,1,141,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/22,-0.16974,-0.021386052,39.82,2019,5,21,22,2,142,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/23,-0.16338,-0.019519292,38.868,2019,5,21,23,3,143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/24,-0.22372,-0.02968761,39.966,2019,5,21,24,4,144,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/28,-0.10354,-0.022273,38.240002,2019,5,22,28,1,148,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/29,-0.25396,-0.01950197,37.419998,2019,5,22,29,2,149,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/30,-0.24516,-0.03771101,37.75,2019,5,22,30,3,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/5/31,-0.22317,-0.048537548,37.02,2019,5,22,31,4,151,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/3,-0.2145,-0.052168248,37.102001,2019,6,23,3,0,154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/4,-0.07348,-0.038861328,36.220001,2019,6,23,4,1,155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/5,-0.04866,-0.029952888,39.736,2019,6,23,5,2,156,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/6,-0.07012,-0.004295378,40.888,2019,6,23,6,3,157,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/7,0,-0.000725298,41,2019,6,23,7,4,158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/10,-0.05732,0.0181375,42.049999,2019,6,24,10,0,161,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/11,-0.10671,0.04454229,43.827999,2019,6,24,11,1,162,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/12,-0.06274,0.044551094,44.59,2019,6,24,12,2,163,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/13,0,0.053094024,42.076,2019,6,24,13,3,164,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
